polygon,min_x,max_x,min_y,max_y,max-min x,max-min y
5,92.629928,267.712432,379.211968,667.729072,175.082504,288.517104
7,272.643056,425.53364,379.211968,667.729072,152.890584,288.517104
8,430.467016,583.357592,379.211968,667.729072,152.890576,288.517104
9,746.110808,899,379.211968,667.729072,152.889192,288.517104
10,588.288216,741.1788,379.211968,667.729072,152.890584,288.517104
11,153.205728,478.392424,249.906512,327.426672,325.186696,77.52016
12,535.432184,900.072112,249.906512,327.426672,364.639928,77.52016
80,92.629928,188.803208,41.363856,194.264088,96.17328,152.900232
84,193.733832,267.712432,41.373504,194.264088,73.9786,152.890584
86,272.643056,346.624416,41.351456,194.264088,73.98136,152.912632
90,351.557792,425.53364,41.350072,194.264088,73.975848,152.914016
92,430.467016,504.446992,41.373504,194.264088,73.979976,152.890584
96,509.377616,583.357592,41.373504,194.264088,73.979976,152.890584
98,588.288216,662.2682,41.367992,194.264088,73.979984,152.896096
102,667.198816,741.1788,41.373504,194.264088,73.979984,152.890584
104,746.110808,820.0894,41.365232,194.264088,73.978592,152.898856
118,825.0214,890.78552,41.373504,194.264088,65.76412,152.890584
